Dim_Lojas.Regiao,ID_Produto,total_vendas,qtd_vendas,ticket_medio,clientes_unicos,lojas_unicas,canais_unicos,idade_media_clientes,idade_std_clientes,fidelidade,vendas_por_cliente,vendas_por_loja,ticket_relativo,vendas_relativa_regiao,participacao_lojas,score_produto_regiao,<18,18-25,26-35,36-50,50+,concentracao_vendas_loja
BAIXO AMAZONAS,208860,359.98,179.99,2.0,1,1,1,33.0,,0.0,179.99,179.99,0.4500204554752489,0.005098674752480997,0.3333333333333333,0.18237498433331784,0.0,0.0,1.0,0.0,0.0,
BAIXO AMAZONAS,213414,349.98,174.99,2.0,1,1,1,59.0,,0.0,174.99,174.99,0.4500204554752489,0.0049570370294830255,0.3333333333333333,0.18231832924411864,0.0,0.0,0.0,0.0,1.0,
SUDESTE PARAENSE,155374,519.96,259.98,2.0,2,1,1,32.0,4.242640687119285,0.0,129.99,259.98,0.4500204554752489,0.004042987101567961,0.14285714285714285,0.1822800415151785,0.0,0.0,2.0,0.0,0.0,
SUL GOIANO,155479,379.98,189.99,2.0,1,1,1,27.0,,0.0,189.99,189.99,0.4500204554752489,0.004852481894181721,0.125,0.1822765071899981,0.0,0.0,1.0,0.0,0.0,
LESTE GOIANO,156285,659.96,329.98,2.0,2,1,1,36.0,1.4142135623730951,0.0,164.99,329.98,0.4500204554752489,0.004015567228989674,0.125,0.18226907356614716,0.0,0.0,1.0,1.0,0.0,
BAIXO AMAZONAS,222634,329.98,164.99,2.0,1,1,1,20.0,,0.0,164.99,164.99,0.4500204554752489,0.004673761583487081,0.3333333333333333,0.18220501906572026,0.0,1.0,0.0,0.0,0.0,
LESTE GOIANO,204382,599.96,299.98,2.0,2,1,1,35.5,2.1213203435596424,0.0,149.99,299.98,0.4500204554752489,0.0036504935370395854,0.125,0.18212304408936714,0.0,0.0,1.0,1.0,0.0,
PRESIDENTE PRUDENTE,197391,199.98,99.99,2.0,1,1,1,37.0,,0.0,99.99,99.99,0.4500204554752489,0.004425338837825207,0.3333333333333333,0.1821056499674555,0.0,0.0,0.0,1.0,0.0,
OESTE PARANAENSE,164853,199.98,99.99,2.0,1,1,1,37.0,,0.0,99.99,99.99,0.4500204554752489,0.004354934808816664,0.25,0.18207748835585208,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE FORTALEZA,214220,439.98,220.0,1.999909090909091,1,1,1,26.0,,0.0,220.0,220.0,0.45,0.004306890202098865,0.08333333333333333,0.18205008832306543,0.0,0.0,1.0,0.0,0.0,
SUL/SUDOESTE DE MINAS,241386,599.98,299.99,2.0,1,1,1,37.0,,0.0,299.99,299.99,0.4500204554752489,0.004262430692342699,0.06666666666666667,0.1820404867092625,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,252515,299.98,149.99,2.0,1,1,1,37.0,,0.0,149.99,149.99,0.4500204554752489,0.004248848414493165,0.3333333333333333,0.18203505379812268,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,253395,299.98,149.99,2.0,1,1,1,38.0,,0.0,149.99,149.99,0.4500204554752489,0.004248848414493165,0.3333333333333333,0.18203505379812268,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,197504,299.98,149.99,2.0,1,1,1,37.0,,0.0,149.99,149.99,0.4500204554752489,0.004248848414493165,0.3333333333333333,0.18203505379812268,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,241473,299.98,149.99,2.0,1,1,1,29.0,,0.0,149.99,149.99,0.4500204554752489,0.004248848414493165,0.3333333333333333,0.18203505379812268,0.0,0.0,1.0,0.0,0.0,
BAIXO AMAZONAS,253178,299.98,149.99,2.0,1,1,1,37.0,,0.0,149.99,149.99,0.4500204554752489,0.004248848414493165,0.3333333333333333,0.18203505379812268,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,222641,299.98,149.99,2.0,1,1,1,37.0,,0.0,149.99,149.99,0.4500204554752489,0.004248848414493165,0.3333333333333333,0.18203505379812268,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,253422,299.98,149.99,2.0,1,1,1,20.0,,0.0,149.99,149.99,0.4500204554752489,0.004248848414493165,0.3333333333333333,0.18203505379812268,0.0,1.0,0.0,0.0,0.0,
BAIXO AMAZONAS,212145,299.98,149.99,2.0,1,1,1,37.0,,0.0,149.99,149.99,0.4500204554752489,0.004248848414493165,0.3333333333333333,0.18203505379812268,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,216206,299.98,149.99,2.0,1,1,1,37.0,,0.0,149.99,149.99,0.4500204554752489,0.004248848414493165,0.3333333333333333,0.18203505379812268,0.0,0.0,0.0,1.0,0.0,
AGRESTE PERNAMBUCANO,193961,199.98,99.99,2.0,1,1,1,37.0,,0.0,99.99,99.99,0.4500204554752489,0.004057225586449459,0.2,0.18195840466690522,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,204244,279.98,139.99,2.0,1,1,1,37.0,,0.0,139.99,139.99,0.4500204554752489,0.003965572968497221,0.3333333333333333,0.18192174361972432,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE FORTALEZA,206511,399.98,200.0,1.9999,1,1,1,37.0,,0.0,200.0,200.0,0.4499979544524751,0.003915354729180786,0.08333333333333333,0.18189265591488823,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE FORTALEZA,252284,399.98,200.0,1.9999,1,1,1,35.0,,0.0,200.0,200.0,0.4499979544524751,0.003915354729180786,0.08333333333333333,0.18189265591488823,0.0,0.0,1.0,0.0,0.0,
METROPOLITANA DE FORTALEZA,251342,399.98,200.0,1.9999,1,1,1,49.0,,0.0,200.0,200.0,0.4499979544524751,0.003915354729180786,0.08333333333333333,0.18189265591488823,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE FORTALEZA,213976,379.98,190.0,1.9998947368421054,1,1,1,37.0,,0.0,190.0,190.0,0.4499967701881186,0.003719586992721747,0.08333333333333333,0.181813875114562,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE FORTALEZA,213977,379.98,190.0,1.9998947368421054,1,1,1,37.0,,0.0,190.0,190.0,0.4499967701881186,0.003719586992721747,0.08333333333333333,0.181813875114562,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE FORTALEZA,211058,379.98,190.0,1.9998947368421054,1,1,1,34.0,,0.0,190.0,190.0,0.4499967701881186,0.003719586992721747,0.08333333333333333,0.181813875114562,0.0,0.0,1.0,0.0,0.0,
METROPOLITANA DE FORTALEZA,213975,379.98,190.0,1.9998947368421054,1,1,1,37.0,,0.0,190.0,190.0,0.4499967701881186,0.003719586992721747,0.08333333333333333,0.181813875114562,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE FORTALEZA,241527,379.98,190.0,1.9998947368421054,1,1,1,37.0,,0.0,190.0,190.0,0.4499967701881186,0.003719586992721747,0.08333333333333333,0.181813875114562,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE FORTALEZA,256625,379.98,190.0,1.9998947368421054,1,1,1,37.0,,0.0,190.0,190.0,0.4499967701881186,0.003719586992721747,0.08333333333333333,0.181813875114562,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,216919,259.98,129.99,2.0,1,1,1,23.0,,0.0,129.99,129.99,0.4500204554752489,0.003682297522501277,0.3333333333333333,0.18180843344132594,0.0,1.0,0.0,0.0,0.0,
BAIXO AMAZONAS,220329,259.98,129.99,2.0,1,1,1,22.0,,0.0,129.99,129.99,0.4500204554752489,0.003682297522501277,0.3333333333333333,0.18180843344132594,0.0,1.0,0.0,0.0,0.0,
VALE DO ITAJAÍ,222667,439.98,219.0,2.009041095890411,1,1,1,35.0,,0.0,219.0,219.0,0.452054794520548,0.0016343562886261267,0.09090909090909091,0.18180299256589552,0.0,0.0,1.0,0.0,0.0,
SUDESTE PARAENSE,204393,469.98,234.99,2.0,1,1,1,37.0,,0.0,234.99,234.99,0.4500204554752489,0.003654363947216921,0.14285714285714285,0.1817972600112122,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE FORTALEZA,213921,369.98,185.0,1.999891891891892,1,1,1,26.0,,0.0,185.0,185.0,0.4499961300452232,0.0036217031244922273,0.08333333333333333,0.18177446551011203,0.0,0.0,1.0,0.0,0.0,
METROPOLITANA DE FORTALEZA,226135,359.98,180.0,1.999888888888889,1,1,1,36.0,,0.0,180.0,180.0,0.4499954543388336,0.0035238192562627078,0.08333333333333333,0.1817350416802644,0.0,0.0,0.0,1.0,0.0,
NORTE CENTRAL PARANAENSE,206598,559.98,279.99,2.0,1,1,1,50.0,,0.0,279.99,279.99,0.4500204554752489,0.003474163152776694,0.08333333333333333,0.1817251796934361,0.0,0.0,0.0,1.0,0.0,
SUDESTE PARAENSE,252798,439.98,219.99,2.0,1,1,1,37.0,,0.0,219.99,219.99,0.4500204554752489,0.0034210967477265007,0.14285714285714285,0.18170395313141602,0.0,0.0,0.0,1.0,0.0,
SUDESTE PARAENSE,197619,439.98,219.99,2.0,1,1,1,43.0,,0.0,219.99,219.99,0.4500204554752489,0.0034210967477265007,0.14285714285714285,0.18170395313141602,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE PORTO ALEGRE,146646,1379.0,689.5,2.0,1,1,1,37.0,,0.0,689.5,689.5,0.4500204554752489,0.0033937347571104774,0.058823529411764705,0.18169300833516963,0.0,0.0,0.0,1.0,0.0,
